 @# k   band (eV)
   0.387  -5.106  -4.109  -3.577  -0.952   0.928   8.892   9.702  11.649  11.989
   0.388  -5.102  -4.066  -3.623  -0.957   0.927   8.960   9.635  11.650  11.985
   0.389  -5.098  -4.023  -3.669  -0.961   0.927   9.028   9.569  11.651  11.982
   0.391  -5.095  -3.980  -3.714  -0.964   0.927   9.097   9.502  11.652  11.979
   0.392  -5.093  -3.936  -3.759  -0.966   0.927   9.165   9.435  11.653  11.977
   0.393  -5.092  -3.893  -3.804  -0.967   0.927   9.232   9.368  11.653  11.975
   0.395  -5.091  -3.849  -3.849  -0.967   0.927   9.300   9.300  11.653  11.975
   0.396  -5.091  -3.872  -3.826  -0.967   0.927   9.265   9.334  11.653  11.976
   0.397  -5.092  -3.895  -3.802  -0.967   0.927   9.230   9.367  11.654  11.978
   0.398  -5.092  -3.917  -3.779  -0.966   0.926   9.196   9.397  11.656  11.981
   0.399  -5.092  -3.940  -3.756  -0.966   0.925   9.162   9.425  11.658  11.986
   0.400  -5.093  -3.963  -3.733  -0.965   0.924   9.128   9.452  11.661  11.992
   0.401  -5.094  -3.986  -3.709  -0.964   0.923   9.095   9.476  11.664  12.000
   0.402  -5.094  -4.008  -3.686  -0.963   0.922   9.062   9.499  11.667  12.009
   0.402  -5.095  -4.031  -3.663  -0.961   0.920   9.029   9.520  11.670  12.021
   0.403  -5.097  -4.053  -3.639  -0.960   0.918   8.997   9.539  11.674  12.034
   0.404  -5.098  -4.075  -3.616  -0.958   0.916   8.965   9.555  11.677  12.049
   0.405  -5.099  -4.097  -3.592  -0.956   0.914   8.933   9.571  11.680  12.066
   0.406  -5.101  -4.119  -3.569  -0.954   0.911   8.902   9.584  11.683  12.084
   0.407  -5.102  -4.141  -3.545  -0.952   0.908   8.871   9.596  11.686  12.104
   0.408  -5.104  -4.162  -3.522  -0.950   0.905   8.840   9.606  11.689  12.126
   0.409  -5.106  -4.184  -3.498  -0.947   0.902   8.810   9.615  11.692  12.150
   0.410  -5.108  -4.205  -3.475  -0.945   0.899   8.780   9.622  11.694  12.175
   0.411  -5.111  -4.226  -3.451  -0.942   0.895   8.751   9.627  11.696  12.201
   0.412  -5.113  -4.247  -3.428  -0.939   0.891   8.721   9.632  11.699  12.228
   0.413  -5.116  -4.267  -3.404  -0.936   0.887   8.693   9.635  11.700  12.257
   0.414  -5.118  -4.287  -3.381  -0.933   0.883   8.664   9.637  11.702  12.287
   0.415  -5.121  -4.307  -3.357  -0.930   0.879   8.636   9.638  11.704  12.317
   0.416  -5.124  -4.327  -3.334  -0.926   0.874   8.608   9.638  11.706  12.349
   0.417  -5.128  -4.346  -3.310  -0.923   0.869   8.581   9.637  11.708  12.381
   0.418  -5.131  -4.366  -3.287  -0.919   0.864   8.554   9.635  11.709  12.413
   0.419  -5.134  -4.384  -3.264  -0.916   0.859   8.527   9.632  11.711  12.447
   0.420  -5.138  -4.403  -3.240  -0.912   0.854   8.501   9.629  11.712  12.480
   0.421  -5.142  -4.421  -3.217  -0.908   0.848   8.475   9.624  11.714  12.514
   0.422  -5.146  -4.439  -3.194  -0.904   0.842   8.449   9.619  11.716  12.548
   0.423  -5.150  -4.457  -3.170  -0.900   0.836   8.424   9.614  11.717  12.583
   0.424  -5.155  -4.474  -3.147  -0.896   0.830   8.399   9.608  11.719  12.617
   0.425  -5.159  -4.491  -3.124  -0.892   0.824   8.374   9.602  11.721  12.651
   0.426  -5.164  -4.507  -3.101  -0.888   0.817   8.350   9.595  11.722  12.686
   0.427  -5.169  -4.523  -3.078  -0.884   0.811   8.327   9.588  11.724  12.720
   0.428  -5.174  -4.539  -3.055  -0.880   0.804   8.303   9.580  11.726  12.754
   0.429  -5.179  -4.554  -3.033  -0.875   0.797   8.280   9.572  11.728  12.788
   0.430  -5.185  -4.569  -3.010  -0.871   0.790   8.258   9.564  11.730  12.822
   0.431  -5.190  -4.584  -2.988  -0.867   0.783   8.235   9.555  11.732  12.856
   0.432  -5.196  -4.598  -2.965  -0.862   0.775   8.213   9.547  11.734  12.889
   0.432  -5.202  -4.612  -2.943  -0.858   0.768   8.192   9.538  11.736  12.921
   0.433  -5.208  -4.625  -2.921  -0.853   0.760   8.171   9.529  11.738  12.954
   0.434  -5.215  -4.638  -2.898  -0.849   0.753   8.150   9.520  11.740  12.986
   0.435  -5.221  -4.651  -2.876  -0.844   0.745   8.130   9.510  11.742  13.017
   0.436  -5.227  -4.663  -2.855  -0.840   0.737   8.110   9.501  11.744  13.048
   0.437  -5.234  -4.675  -2.833  -0.835   0.729   8.090   9.492  11.746  13.079
   0.438  -5.241  -4.686  -2.811  -0.831   0.720   8.071   9.482  11.749  13.109
   0.439  -5.248  -4.697  -2.790  -0.826   0.712   8.052   9.473  11.751  13.138
   0.440  -5.255  -4.708  -2.769  -0.822   0.704   8.033   9.463  11.753  13.167
   0.441  -5.262  -4.718  -2.748  -0.818   0.695   8.015   9.454  11.756  13.195
   0.442  -5.269  -4.728  -2.727  -0.813   0.687   7.998   9.445  11.758  13.223
   0.443  -5.276  -4.737  -2.706  -0.809   0.678   7.980   9.435  11.760  13.250
   0.444  -5.284  -4.746  -2.686  -0.804   0.670   7.963   9.426  11.763  13.277
   0.445  -5.291  -4.755  -2.666  -0.800   0.661   7.947   9.417  11.765  13.302
   0.446  -5.299  -4.764  -2.646  -0.796   0.652   7.930   9.408  11.768  13.328
   0.447  -5.306  -4.772  -2.626  -0.791   0.644   7.914   9.398  11.770  13.352
   0.448  -5.314  -4.780  -2.607  -0.787   0.635   7.899   9.389  11.773  13.376
