 @# k   band (eV)
   0.102  -3.229  -2.794  -2.776  -2.717  -2.704  -1.216  -0.950  -0.001   0.011   0.233   0.253   0.278   5.697   5.698   6.414   6.416  13.668  14.232
   0.104  -3.167  -2.800  -2.784  -2.742  -2.726  -1.124  -0.890  -0.036  -0.025   0.244   0.264   0.312   5.815   5.816   6.531   6.533  13.559  14.120
   0.107  -3.106  -2.822  -2.808  -2.750  -2.730  -1.031  -0.828  -0.071  -0.061   0.254   0.275   0.348   5.935   5.936   6.649   6.651  13.452  14.010
   0.109  -3.046  -2.855  -2.839  -2.747  -2.726  -0.936  -0.764  -0.106  -0.096   0.265   0.285   0.385   6.055   6.056   6.768   6.770  13.345  13.900
   0.111  -2.994  -2.891  -2.866  -2.740  -2.720  -0.840  -0.698  -0.141  -0.131   0.275   0.296   0.422   6.177   6.178   6.888   6.890  13.240  13.791
   0.113  -2.968  -2.927  -2.868  -2.733  -2.712  -0.743  -0.630  -0.175  -0.166   0.286   0.306   0.459   6.299   6.300   7.008   7.010  13.135  13.682
   0.116  -2.983  -2.963  -2.829  -2.725  -2.704  -0.644  -0.560  -0.209  -0.200   0.297   0.317   0.497   6.422   6.423   7.129   7.131  13.030  13.575
   0.118  -3.014  -3.000  -2.775  -2.716  -2.695  -0.545  -0.489  -0.243  -0.233   0.307   0.328   0.534   6.546   6.547   7.251   7.252  12.926  13.468
   0.120  -3.048  -3.036  -2.719  -2.707  -2.686  -0.445  -0.415  -0.275  -0.266   0.318   0.338   0.572   6.670   6.671   7.372   7.374  12.822  13.361
   0.122  -3.083  -3.072  -2.700  -2.679  -2.658  -0.350  -0.340  -0.304  -0.295   0.329   0.349   0.611   6.795   6.796   7.494   7.496  12.719  13.255
   0.124  -3.118  -3.108  -2.691  -2.670  -2.601  -0.344  -0.333  -0.260  -0.235   0.339   0.360   0.649   6.920   6.921   7.616   7.618  12.616  13.149
   0.127  -3.153  -3.143  -2.682  -2.661  -2.544  -0.374  -0.364  -0.180  -0.133   0.350   0.370   0.687   7.045   7.046   7.738   7.740  12.513  13.044
   0.129  -3.188  -3.178  -2.674  -2.653  -2.487  -0.405  -0.395  -0.098  -0.029   0.360   0.381   0.726   7.170   7.171   7.860   7.861  12.410  12.938
   0.131  -3.222  -3.212  -2.665  -2.644  -2.432  -0.435  -0.425  -0.014   0.076   0.371   0.391   0.764   7.294   7.295   7.981   7.983  12.307  12.833
   0.133  -3.256  -3.246  -2.657  -2.636  -2.377  -0.465  -0.455   0.073   0.182   0.381   0.402   0.802   7.419   7.420   8.102   8.103  12.203  12.728
   0.136  -3.289  -3.279  -2.648  -2.627  -2.324  -0.494  -0.484   0.161   0.289   0.391   0.412   0.841   7.543   7.544   8.222   8.224  12.100  12.622
   0.138  -3.322  -3.312  -2.640  -2.619  -2.272  -0.522  -0.513   0.252   0.397   0.401   0.422   0.879   7.666   7.667   8.342   8.343  11.996  12.517
   0.140  -3.354  -3.344  -2.632  -2.611  -2.221  -0.550  -0.541   0.344   0.411   0.432   0.506   0.917   7.789   7.789   8.460   8.461  11.893  12.411
   0.142  -3.385  -3.375  -2.624  -2.602  -2.171  -0.577  -0.568   0.421   0.438   0.442   0.614   0.955   7.910   7.911   8.577   8.579  11.788  12.306
   0.144  -3.416  -3.406  -2.616  -2.594  -2.122  -0.604  -0.594   0.431   0.452   0.534   0.724   0.993   8.030   8.031   8.694   8.695  11.684  12.200
   0.147  -3.446  -3.436  -2.608  -2.587  -2.075  -0.630  -0.620   0.440   0.461   0.632   0.833   1.031   8.149   8.150   8.808   8.809  11.579  12.094
   0.149  -3.475  -3.465  -2.600  -2.579  -2.029  -0.655  -0.646   0.450   0.471   0.732   0.941   1.071   8.267   8.268   8.921   8.922  11.473  11.988
   0.151  -3.504  -3.494  -2.593  -2.571  -1.984  -0.680  -0.670   0.459   0.480   0.833   1.044   1.116   8.383   8.383   9.032   9.033  11.367  11.881
   0.153  -3.531  -3.521  -2.585  -2.564  -1.941  -0.704  -0.694   0.468   0.489   0.935   1.118   1.189   8.497   8.497   9.142   9.143  11.261  11.774
   0.156  -3.559  -3.549  -2.578  -2.556  -1.899  -0.727  -0.717   0.477   0.498   1.039   1.162   1.292   8.609   8.609   9.249   9.250  11.154  11.667
   0.158  -3.585  -3.575  -2.571  -2.549  -1.858  -0.749  -0.740   0.486   0.507   1.144   1.200   1.402   8.719   8.719   9.354   9.355  11.047  11.560
   0.160  -3.611  -3.601  -2.564  -2.542  -1.819  -0.771  -0.761   0.494   0.515   1.235   1.250   1.513   8.826   8.826   9.456   9.457  10.940  11.453
   0.162  -3.635  -3.625  -2.557  -2.536  -1.781  -0.792  -0.782   0.503   0.524   1.269   1.357   1.624   8.931   8.931   9.556   9.557  10.832  11.346
   0.164  -3.659  -3.649  -2.550  -2.529  -1.744  -0.812  -0.802   0.511   0.532   1.302   1.464   1.736   9.033   9.034   9.653   9.654  10.724  11.239
   0.167  -3.683  -3.673  -2.544  -2.523  -1.709  -0.832  -0.822   0.518   0.539   1.334   1.572   1.847   9.133   9.133   9.747   9.748  10.616  11.132
   0.169  -3.705  -3.695  -2.538  -2.516  -1.675  -0.851  -0.841   0.526   0.547   1.365   1.681   1.959   9.229   9.229   9.839   9.839  10.508  11.025
   0.171  -3.727  -3.717  -2.532  -2.510  -1.642  -0.869  -0.859   0.533   0.554   1.395   1.789   2.069   9.322   9.323   9.927   9.927  10.401  10.919
   0.173  -3.747  -3.737  -2.526  -2.504  -1.611  -0.886  -0.876   0.540   0.561   1.425   1.898   2.179   9.413   9.413  10.012  10.012  10.293  10.813
   0.176  -3.767  -3.757  -2.520  -2.499  -1.581  -0.902  -0.892   0.547   0.568   1.453   2.006   2.288   9.499   9.500  10.093  10.094  10.187  10.708
   0.178  -3.786  -3.776  -2.515  -2.494  -1.553  -0.918  -0.908   0.554   0.575   1.480   2.113   2.395   9.583   9.583  10.080  10.172  10.172  10.604
